idx,input_len,output_len,input_tokens,output_tokens,energy_kwh,carbon_kg
3384,295,78,106,21,0.000118,0.000000
3261,297,72,114,21,0.000117,0.000000
3170,298,33,105,11,0.000117,0.000000
3207,300,33,109,11,0.000121,0.000000
3349,300,33,102,11,0.000117,0.000000
3418,300,33,102,11,0.000118,0.000000
3228,302,10,113,6,0.000120,0.000000
3356,304,64,117,21,0.000117,0.000000
3112,305,37,111,13,0.000114,0.000000
3226,305,71,115,20,0.000119,0.000000
3305,309,37,118,13,0.000117,0.000000
3382,310,61,126,19,0.000118,0.000000
3124,311,33,108,11,0.000114,0.000000
3153,312,18,105,5,0.000116,0.000000
3294,312,46,111,13,0.000121,0.000000
3250,314,34,114,11,0.000118,0.000000
3296,314,33,121,11,0.000121,0.000000
3167,315,71,112,21,0.000117,0.000000
3267,315,9,118,5,0.000118,0.000000
3175,316,33,112,11,0.000117,0.000000
3395,316,37,114,13,0.000118,0.000000
3360,317,33,116,11,0.000120,0.000000
3290,318,37,114,13,0.000117,0.000000
3177,320,88,111,20,0.000117,0.000000
3244,320,33,107,11,0.000118,0.000000
3300,320,28,108,9,0.000117,0.000000
3379,322,80,112,21,0.000118,0.000000
3318,326,77,111,21,0.000117,0.000000
3333,330,22,116,8,0.000121,0.000000
3329,334,34,113,11,0.000118,0.000000
3383,334,18,119,5,0.000118,0.000000
3248,337,19,109,7,0.000118,0.000000
3106,338,77,116,21,0.000113,0.000000
3332,339,42,123,15,0.000121,0.000000
3184,343,56,128,17,0.000118,0.000000
3322,343,33,120,11,0.000118,0.000000
3346,343,76,124,21,0.000117,0.000000
3138,346,33,123,11,0.000116,0.000000
3176,346,33,123,11,0.000120,0.000000
3364,346,33,123,11,0.000118,0.000000
3087,349,75,124,21,0.000111,0.000000
3201,349,19,117,7,0.000118,0.000000
3194,351,67,117,16,0.000118,0.000000
3266,355,5,123,3,0.000118,0.000000
3338,357,74,120,21,0.000118,0.000000
3308,361,9,126,5,0.000118,0.000000
3133,363,34,131,10,0.000122,0.000000
3159,363,37,128,13,0.000117,0.000000
3199,364,69,132,21,0.000125,0.000000
3417,366,12,133,6,0.000125,0.000000
3224,370,48,120,14,0.000118,0.000000
3367,370,33,122,11,0.000121,0.000000
3119,371,33,127,11,0.000114,0.000000
3381,374,84,121,21,0.000118,0.000000
3205,375,74,136,21,0.000122,0.000000
3181,376,33,125,11,0.000121,0.000000
3136,378,68,134,21,0.000119,0.000000
3083,379,33,130,11,0.000113,0.000000
3291,379,86,122,21,0.000117,0.000000
3157,382,63,120,17,0.000117,0.000000
3299,384,79,124,21,0.000118,0.000000
3143,385,33,130,11,0.000119,0.000000
3264,394,61,148,21,0.000122,0.000000
3373,394,84,130,21,0.000124,0.000000
3195,396,80,127,21,0.000118,0.000000
3113,407,45,130,13,0.000118,0.000000
3295,407,26,139,10,0.000124,0.000000
3328,408,33,136,11,0.000122,0.000000
3116,411,79,140,21,0.000118,0.000000
3115,426,19,145,7,0.000118,0.000000
3091,427,81,145,21,0.000118,0.000000
3109,428,35,153,14,0.000117,0.000000
3246,431,20,134,9,0.000125,0.000000
3202,436,70,153,21,0.000126,0.000000
3392,436,66,151,21,0.000126,0.000000
3183,437,74,148,21,0.000124,0.000000
3187,451,83,152,21,0.000125,0.000000
3320,455,33,173,11,0.000125,0.000000
3081,458,46,146,13,0.000114,0.000000
3213,465,37,154,13,0.000123,0.000000
3262,465,37,161,13,0.000125,0.000000
3085,469,76,147,21,0.000115,0.000000
3152,471,80,144,21,0.000120,0.000000
3279,473,37,157,13,0.000125,0.000000
3393,478,74,160,21,0.000125,0.000000
3343,483,37,197,14,0.000127,0.000000
3180,486,35,152,10,0.000125,0.000000
3165,488,83,159,21,0.000122,0.000000
3193,490,88,165,21,0.000125,0.000000
3337,492,67,153,21,0.000123,0.000000
3284,498,60,185,20,0.000126,0.000000
3390,498,29,155,10,0.000125,0.000000
3110,508,27,165,9,0.000118,0.000000
3334,513,72,170,21,0.000126,0.000000
3209,521,89,162,21,0.000122,0.000000
3237,521,25,158,10,0.000126,0.000000
3287,522,87,162,21,0.000125,0.000000
3311,522,69,166,21,0.000125,0.000000
3298,524,67,180,21,0.000122,0.000000
3351,524,67,158,17,0.000125,0.000000
3217,533,9,169,5,0.000126,0.000000
3273,533,44,158,14,0.000125,0.000000
3212,535,15,155,5,0.000126,0.000000
3331,535,57,173,13,0.000126,0.000000
3243,548,67,191,21,0.000126,0.000000
3245,548,65,171,21,0.000126,0.000000
3302,548,43,173,19,0.000125,0.000000
3409,561,59,168,18,0.000127,0.000000
3090,585,49,173,14,0.000116,0.000000
3411,588,94,177,21,0.000123,0.000000
3196,606,82,171,21,0.000122,0.000000
3129,608,72,196,19,0.000125,0.000000
3389,609,68,196,21,0.000136,0.000000
3190,610,74,204,21,0.000127,0.000000
3204,648,33,196,10,0.000171,0.000000
3288,653,16,206,9,0.000167,0.000000
3151,694,14,211,8,0.000126,0.000000
3330,722,31,188,13,0.000126,0.000000
3169,732,36,228,14,0.000169,0.000000
3285,738,74,219,21,0.000168,0.000000
3178,751,69,231,21,0.000173,0.000000
3140,831,36,255,14,0.000168,0.000000
3142,856,27,244,10,0.000169,0.000000
